,Month,Hour,Value,DIR,SPD,TEMP,Value_1,TEMP_1,SPD_1,DIR_1,Value_2,TEMP_2,SPD_2,DIR_2,Value_3,TEMP_3,SPD_3,DIR_3,Value_4,TEMP_4,SPD_4,DIR_4,Value_5,TEMP_5,SPD_5,DIR_5,HUM,HUM_1,HUM_2,HUM_3,HUM_4,HUM_5,day_week_cat
0,10,6,55.99999999999999,990.0,14.48406,7.222222222222222,68.0,2.7777777777777777,3.21868,990.0,55.99999999999999,-2.2222222222222223,3.21868,990.0,57.99999999999999,-3.888888888888889,6.43736,80.0,77.0,-5.0,3.21868,990.0,0.0,-6.111111111111111,3.21868,990.0,33.57742165010363,66.83551651254903,95.97042118062114,91.97927719776273,91.9071778693563,91.83411712181577,6
1,10,7,63.0,240.0,20.92142,7.777777777777778,55.99999999999999,7.222222222222222,14.48406,990.0,68.0,2.7777777777777777,3.21868,990.0,55.99999999999999,-2.2222222222222223,3.21868,990.0,57.99999999999999,-3.888888888888889,6.43736,80.0,77.0,-5.0,3.21868,990.0,29.652340829431946,33.57742165010363,66.83551651254903,95.97042118062114,91.97927719776273,91.9071778693563,6
2,10,8,59.00000000000001,240.0,20.92142,8.88888888888889,63.0,7.777777777777778,20.92142,240.0,55.99999999999999,7.222222222222222,14.48406,990.0,68.0,2.7777777777777777,3.21868,990.0,55.99999999999999,-2.2222222222222223,3.21868,990.0,57.99999999999999,-3.888888888888889,6.43736,80.0,25.203771628645487,29.652340829431946,33.57742165010363,66.83551651254903,95.97042118062114,91.97927719776273,6
3,10,9,57.0,240.0,20.92142,7.777777777777778,59.00000000000001,8.88888888888889,20.92142,240.0,63.0,7.777777777777778,20.92142,240.0,55.99999999999999,7.222222222222222,14.48406,990.0,68.0,2.7777777777777777,3.21868,990.0,55.99999999999999,-2.2222222222222223,3.21868,990.0,27.175524504540444,25.203771628645487,29.652340829431946,33.57742165010363,66.83551651254903,95.97042118062114,6
4,10,10,57.0,220.0,11.26538,3.888888888888889,57.0,7.777777777777778,20.92142,240.0,59.00000000000001,8.88888888888889,20.92142,240.0,63.0,7.777777777777778,20.92142,240.0,55.99999999999999,7.222222222222222,14.48406,990.0,68.0,2.7777777777777777,3.21868,990.0,35.56228676354831,27.175524504540444,25.203771628645487,29.652340829431946,33.57742165010363,66.83551651254903,6
5,10,11,63.0,160.0,14.48406,1.1111111111111112,57.0,3.888888888888889,11.26538,220.0,57.0,7.777777777777778,20.92142,240.0,59.00000000000001,8.88888888888889,20.92142,240.0,63.0,7.777777777777778,20.92142,240.0,55.99999999999999,7.222222222222222,14.48406,990.0,43.321643837035666,35.56228676354831,27.175524504540444,25.203771628645487,29.652340829431946,33.57742165010363,6
6,10,10,209.0,220.0,14.48406,7.222222222222222,270.0,11.11111111111111,6.43736,220.0,94.0,12.222222222222221,14.48406,250.0,50.0,11.11111111111111,11.26538,990.0,43.0,11.11111111111111,3.21868,990.0,43.0,7.777777777777778,3.21868,990.0,23.64758818797597,18.198794132157317,16.911449206164402,21.721950521983327,21.721950521983327,29.652340829431946,4
7,10,11,40.0,160.0,6.43736,2.2222222222222223,209.0,7.222222222222222,14.48406,220.0,270.0,11.11111111111111,6.43736,220.0,94.0,12.222222222222221,14.48406,250.0,50.0,11.11111111111111,11.26538,990.0,43.0,11.11111111111111,3.21868,990.0,32.05411491699703,23.64758818797597,18.198794132157317,16.911449206164402,21.721950521983327,21.721950521983327,4
8,10,8,154.0,340.0,20.92142,10.0,114.0,10.0,17.70274,330.0,59.00000000000001,10.0,11.26538,290.0,43.0,8.88888888888889,6.43736,990.0,71.0,6.111111111111111,3.21868,990.0,98.0,2.7777777777777777,3.21868,990.0,23.39054926371491,23.39054926371491,24.435767832793235,27.500879565172582,30.464467967570496,41.968588614091445,0
9,10,9,235.0,320.0,3.21868,7.777777777777778,154.0,10.0,20.92142,340.0,114.0,10.0,17.70274,330.0,59.00000000000001,10.0,11.26538,290.0,43.0,8.88888888888889,6.43736,990.0,71.0,6.111111111111111,3.21868,990.0,29.652340829431946,23.39054926371491,23.39054926371491,24.435767832793235,27.500879565172582,30.464467967570496,0
